group,attrs,packs,approx_groups_count,ml,number_entities,group_number_masked_product,material_type,optional_attrs,none_attrs,inferred_concentration,inferred_concentration_uom,inferred_packsize,inferred_packsize_uom,product,Item_Description,Item_Code,Secondary_Sales_UOM,Parent_Code,rowcd,percentage,mg,pack_size,misc,fraction,k,mg/ml,gm,liter,miu,pack_multiplier,mcg
gemcal,nasal,spray,1,3.7,"{'#': {'string': '3.7 ml', 'type': 'measurement', 'number_string': (None, '3.7'), 'amount_suffix': (None, 'ml'), 'amount_separator': None}}", <group> nasal spray <v>#<v> ,liquid,,,,,3.7,ml,GEMCAL NASAL SPRAY (3.7ML),GEMCAL NASAL SPRAY (3.7ML),FA9701,,FA9701,2021-06-04 19:25:39,,,,,,,,,,,,
oxum,,spray,1,100.0,"{'#': {'string': '100 ml', 'type': 'measurement', 'number_string': (None, '100.0'), 'amount_suffix': (None, 'ml'), 'amount_separator': None}}", <group> spray <v>#<v> ,liquid,,,,,100.0,ml,OXUM SPRAY  (100ML),OXUM SPRAY  (100ML),FAIP02,,FAIP02,2021-06-04 19:25:39,,,,,,,,,,,,
minokem,,,1,60.0,"{'#': {'string': '5%', 'type': 'percentage', 'number_string': ('5.0',)}, '##': {'string': '60 ml', 'type': 'measurement', 'number_string': (None, '60.0'), 'amount_suffix': (None, 'ml'), 'amount_separator': None}}", <group> <v>#<v> <v>##<v> ,liquid,,,5.0,percentage,60.0,ml,MINOKEM 5% (60ML),MINOKEM 5% (60ML),FALV11,,FALV11,2021-06-04 19:25:39,5.0,,,,,,,,,,,
minokem,,,1,90.0,"{'#': {'string': '5%', 'type': 'percentage', 'number_string': ('5.0',)}, '##': {'string': '90 ml', 'type': 'measurement', 'number_string': (None, '90.0'), 'amount_suffix': (None, 'ml'), 'amount_separator': None}}", <group> <v>#<v> <v>##<v> ,liquid,,,5.0,percentage,90.0,ml,MINOKEM 5% (90ML),MINOKEM 5% (90ML),FALV12,,FALV11,2021-06-04 19:25:39,5.0,,,,,,,,,,,
broadicillin,,tablet,1,,"{'#': {'string': '500mg', 'type': 'measurement', 'number_string': (None, '500.0'), 'amount_suffix': (None, 'mg'), 'amount_separator': None}, '##': {'string': '10s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", <group> capsule <v>#<v>  <v>##<v> ,solid,,,500.0,mg,10.0,pack_size,BROADICILIN CAPSULE 500MG  ( 10S ),BROADICILIN CAPSULE 500MG  ( 10S ),FC0911,,FC0911,2021-06-04 19:25:39,,500.0,10.0,,,,,,,,,
hemfer,,tablet,1,,"{'#': {'string': '30 s', 'type': 'measurement', 'number_string': (None, '30.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", <group> capsule new <v>#<v> ,solid,new,,,,30.0,pack_size,HEMFER CAPSULE (NEW)(30'S),HEMFER CAPSULE (NEW)(30'S),FC1805,,FC1805,2021-06-04 19:25:39,,,30.0,,,,,,,,,
atoz,gold,tablet,1,,"{'#': {'string': '15 s', 'type': 'measurement', 'number_string': (None, '15.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", new <group> gold capsule <v>#<v> ,solid,new,,,,15.0,pack_size,NEW A TO Z GOLD CAPSULE (15'S),NEW A TO Z GOLD CAPSULE (15'S),FC5002,,FC5002,2021-06-04 19:25:39,,,15.0,,,,,,,,,
atoz,woman,tablet,1,,"{'#': {'string': '15 s', 'type': 'measurement', 'number_string': (None, '15.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", <group> woman capsule <v>#<v> ,solid,,,,,15.0,pack_size,A TO Z WOMAN CAPSULE (15'S),A TO Z WOMAN CAPSULE (15'S),FC5031,,FC5031,2021-06-04 19:25:39,,,15.0,,,,,,,,,
nodimox,plus,tablet,1,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None, 'context': {'before': ['<group>', '<attr>', '<v>##<v>', '<pack>'], 'after': []}}, '##': {'string': '500', 'type': 'int', 'number_string': ('500.0',), 'context': {'before': ['<group>', '<attr>'], 'after': ['<pack>', '<v>#<v>']}}}", <group> plus <v>##<v> capsule <v>#<v> ,solid,,,500.0,,10.0,pack_size,NODIMOX PLUS 500 CAPSULE  (10S),NODIMOX PLUS 500 CAPSULE  (10S),FC5451,,FC5451,2021-06-04 19:25:39,,,10.0,500.0,,,,,,,,
pan,d,tablet,1,,"{'#': {'string': '15 s', 'type': 'measurement', 'number_string': (None, '15.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", <group> d capsule alu alu <v>#<v> ,solid,,alu alu,,,15.0,pack_size,PAN D CAPSULE (ALU-ALU) (15'S),PAN D CAPSULE (ALU-ALU) (15'S),FC9106,,FC9106,2021-06-04 19:25:39,,,15.0,,,,,,,,,
